,movieID,movieName,movieRelease,movieRating
199,284842,America's Team: Being a U.S.Air Force Thunderbird,2008-05-13,0.0
200,15807,Air Force,1943-03-20,6.321
201,18835,Private School,1983-06-29,5.434
202,326106,Airborn,1968-01-01,0.0
203,60856,Airborne,1998-07-23,3.2
204,133558,Saints and Soldiers: Airborne Creed,2012-08-17,5.561
205,720946,Airborne: Sièges,1970-01-01,0.0
206,13064,Airborne,1993-09-17,6.1
207,85207,Airborne,2012-03-15,3.7
208,447429,Robo-Dog: Airborne,2017-05-04,6.9
209,58474,All I Ever Wanted: The Airborne Toxic Event Live from Walt Disney Concert Hall,2010-09-28,6.1
210,1079309,Airborne,2022-09-07,0.0
211,273573,Airborne,1962-05-30,5.2
212,381159,Assault on Normandy: 6th Airborne,2013-09-02,0.0
213,214392,Normandy: The Airborne Invasion of Fortress Europe,1947-09-26,0.0
214,555663,I Am an American Soldier: One Year in Iraq with the 101st Airborne,2007-04-26,0.0
215,933772,Airborne,2021-12-02,0.0
216,677025,The Airborne Toxic Event - Lollapalooza 2014,2014-08-03,0.0
217,415734,Airborne,1976-01-01,0.0
218,603624,Airborne,,0.0
219,694937,Airborne: A Sentimental Journey,1976-01-14,0.0
220,320798,Geronimo: The U.S. Airborne in World War II,2003-01-01,0.0
221,725479,"Death From Above, A History Of The Airborne Infantry",2011-01-01,0.0
222,29723,The Concorde... Airport '79,1979-08-17,4.806
223,43886,Alice Adams,1935-08-23,6.7
224,9710,Allan Quatermain and the Lost City of Gold,1986-12-17,4.78
225,86240,All Fall Down,1962-04-06,6.3
226,439585,We All Fall Down: Part One,2017-02-05,8.0
227,163850,All Fall Down,2009-09-12,0.0
228,466257,All Fall Down,1993-07-13,0.0
229,265932,All Fall Down,2014-05-09,0.0
230,440207,We All Fall Down,2016-08-12,5.6
231,477733,We All Fall Down,1999-09-24,5.0
232,318087,Teletubbies: All Fall Down,,0.0
233,325477,We All Fall Down,2014-03-27,0.0
234,56783,Tutti giù per terra,1997-04-24,6.5
235,91419,All the Brothers Were Valiant,1953-11-13,5.9
236,536671,All the Brothers Were Valiant,1923-01-15,0.0
237,25430,All the King's Men,1949-11-16,7.0
238,1717,All the King's Men,2006-09-10,5.803
239,53253,All the King's Men,1999-11-14,6.0
240,252319,天下第一,1983-01-01,6.8
241,971948,公視門,2021-11-19,0.0
242,21355,All the Pretty Horses,2000-12-11,5.844
243,733495,Μικρά Όμορφα Άλογα,2021-11-25,5.5
244,883243,Sami la fugue,2021-10-14,0.0
245,13523,Sex Drive,2008-10-16,6.3
246,112039,Sex Drive,2003-04-02,6.4
247,530458,Do Women Have a Higher Sex Drive?,2018-06-05,8.0
248,708243,My Dubious Sex Drive,,0.0
249,1059883,Sex Drive Unrated and Cream-Filled,,0.0
250,3401,"Scenes from the Sex Struggles at North Beverly Drive, Los Angeles, CA (Remix)",2007-01-01,2.0
251,523534,Happy Ending,2018-12-25,5.4
252,36886,Schulmädchen-Report 4. Teil: Was Eltern oft verzweifeln läßt,1972-09-28,5.1
253,137113,Edge of Tomorrow,2014-05-27,7.599
254,1091836,Edge of Tomorrow,1961-05-28,0.0
255,424775,Live Die Repeat and Repeat,,0.0
256,86815,La Folie Almayer,2012-01-25,6.423
257,201895,Hanyut,2016-11-24,7.0
258,2043,Along Came a Spider,2001-04-06,6.332
259,252708,Along Came a Spider,1970-02-03,3.5
260,654665,Va ankaboot amad,2003-03-05,0.0
261,11542,Altered States,1980-12-25,6.7
262,231552,Altered States of Plaine,2012-05-18,2.5
263,762833,Odmienne stany świadomości,2020-06-02,0.0
264,787926,Altered States (1966-1999),1999-02-01,0.0
265,197989,National Geographic: Taboo - Altered States,,0.0
266,718896,Altered States: Alcohol and Other Drugs in America,1993-01-01,0.0
267,387379,Always Another Dawn,1948-09-24,4.0
268,26622,Always Outnumbered,1998-03-21,6.647
269,81482,El amante bilingüe,1993-04-02,4.3
270,21294,The Amateur,1981-12-11,5.8
271,340244,The Amateur,2014-01-01,0.0
272,17035,The Amateurs,2006-04-28,5.5
273,477097,The World of Amateur Radio,2011-10-24,10.0
274,411188,L'amatore,2016-08-05,8.0
275,278890,アマチュア倶楽部,1920-11-19,0.0
276,186600,The Amateur Monster Movie,2011-01-01,4.9
277,408552,The Business of Amateurs,2016-08-26,8.0
278,284790,The Amateurist,1998-04-23,4.8
279,184462,Raffles: The Amateur Cracksman,1925-05-23,5.5
280,756900,Den store flyver,1911-12-14,0.0
281,1041960,Amatøren,2021-06-10,0.0
282,665849,Mėgėjai,2015-01-01,0.0
283,634254,Amatorul,2019-10-01,10.0
284,127468,El amateur,1999-04-22,5.8
285,370347,The Amateurs,2003-01-01,0.0
286,484234,Den store amatören,1958-06-22,0.0
287,873794,El radioaficionado,2021-09-20,7.0
288,1027794,The Idiot's Guide to Swindling and Amateur Filmmaking,2022-10-30,0.0
289,427197,Die große Abenteuerin,1928-04-14,0.0
290,131861,An American Dream,1966-08-31,4.3
291,369776,Les Tuche 2 : Le Rêve américain,2016-02-03,5.611
292,196325,中国合伙人,2013-05-18,6.727
293,974587,Living an American Dream,2016-02-01,10.0
294,705160,Pizza Shop: An Italian American Dream,2017-10-06,0.0
295,243364,Norman Rockwell's World... An American Dream,1972-06-01,6.4
296,97214,The Beat Generation: An American Dream,1987-09-29,5.7
297,896714,Elegy for an American Dream,,0.0
298,793995,The Mike Lindell Story: An American Dream,2016-12-29,0.0
299,458961,Preston Sturges: The Rise and Fall of an American Dreamer,1990-07-02,6.0
300,446823,An American Dream: The Education of William Bowman,2016-12-01,5.0
301,356548,Drömmen om Amerika,1976-11-19,0.0
302,926841,ది అమెరికన్ డ్రీమ్,2022-01-14,6.5
303,688736,Making Pursuit: An Italian Take on the American Dream,2007-03-27,0.0
304,669340,"Bobby Kennedy, le rêve brisé de l'Amérique",2018-05-10,8.0
305,953075,Американская мечта,2016-03-03,0.0
306,602617,Der amerikanische Traum – Die Europäer in der Neuen Welt,2019-02-15,4.0
307,585866,Mapa de sueños latinoamericanos,2020-02-04,5.0
308,327794,أمريكا شيكا بيكا,1993-08-02,4.0
309,337466,El otro sueño americano,2004-10-01,6.4
310,214939,Americanese,2006-03-15,2.0
311,1359,American Psycho,2000-04-13,7.392
312,10726,American Psycho II: All American Girl,2002-04-22,4.581
313,760953,Chance Has No Empathy,2018-01-01,4.3
314,483149,American Psychosis,2017-02-23,0.0
315,201090,American Psycho Tour Documentary,2012-07-26,7.0
316,621817,American Psycho with Huey Lewis and Weird Al,2013-04-03,6.0
317,645444,Psycho BFF,2019-10-17,7.2
318,876663,"Tueur, trader et psychopathe : l'Amérique de Bret Easton Ellis",2021-09-15,6.1
319,2771,American Splendor,2003-08-15,7.207
320,25673,A Place in the Sun,1951-06-12,7.393
321,336317,A Place in the Sun,1994-01-01,2.7
322,118513,En plats i solen,2012-08-29,6.211
323,243195,O místo na slunci...,1960-11-21,5.7
324,248503,陽だまりの彼女,2013-10-11,6.6
325,1096265,A Million Pound Place in the Sun,,0.0
326,338373,太陽の坐る場所,2014-10-04,7.0
327,48378,Ma place au soleil,2007-03-14,5.4
328,173314,Plekkie in die Son,1979-01-01,7.0
329,668036,Egy kis hely a nap alatt,1973-01-01,8.0
330,710605,Une place sous le soleil,2019-06-10,0.0
331,1012173,Der vermessene Mensch,2023-02-22,8.0
332,42791,The Americanization of Emily,1964-10-27,6.789
333,25901,Amerika,1994-06-16,5.7
334,183589,Amerika,1996-02-12,0.0
335,429968,Amerika,2000-01-27,0.0
336,527719,AmeriKa,2017-04-05,0.0
337,559609,Amerika,1983-10-21,0.0
